trial_id,domain,v_level,v_magnitude,psi_direction,model,repetition,ssc,ssc_p,sp,sp_p,tau_preservation,n_found,n_total,n_sentences
S2_V2_formal_claude-sonnet_rep1,S2,V2,2,formal,claude-sonnet,1,0.2927,4.2e-05,-0.5614,0.010007,1.0,20,20,10
S2_V2_formal_claude-sonnet_rep2,S2,V2,2,formal,claude-sonnet,2,0.0,1.0,0.0,1.0,1.0,20,20,18
S2_V2_formal_claude-sonnet_rep3,S2,V2,2,formal,claude-sonnet,3,0.157,0.030537,-0.4142,0.069428,1.0,20,20,17
S2_V2_formal_claude-sonnet_rep4,S2,V2,2,formal,claude-sonnet,4,0.3778,0.0,-0.182,0.442396,1.0,20,20,21
S2_V2_formal_gpt-4o_rep0,S2,V2,2,formal,gpt-4o,0,0.0,1.0,0.0,1.0,1.0,20,20,30
S2_V2_formal_gpt-4o_rep1,S2,V2,2,formal,gpt-4o,1,0.0,1.0,0.0,1.0,1.0,20,20,21
S2_V2_formal_gpt-4o_rep2,S2,V2,2,formal,gpt-4o,2,0.0,1.0,0.0,1.0,1.0,20,20,17
S2_V2_formal_gpt-4o_rep3,S2,V2,2,formal,gpt-4o,3,0.0,1.0,0.0,1.0,1.0,20,20,28
S2_V2_formal_gpt-4o_rep4,S2,V2,2,formal,gpt-4o,4,0.0,1.0,0.0,1.0,1.0,20,20,25
S2_V3_causal_claude-sonnet_rep0,S2,V3,3,causal,claude-sonnet,0,0.3984,0.0,-0.2639,0.260846,0.9615,20,20,43
S2_V3_causal_claude-sonnet_rep1,S2,V3,3,causal,claude-sonnet,1,0.1359,0.06163,-0.2802,0.231446,0.8462,20,20,33
S2_V3_causal_claude-sonnet_rep2,S2,V3,3,causal,claude-sonnet,2,0.44,0.0,-0.3881,0.090845,0.9615,20,20,38
S2_V3_causal_claude-sonnet_rep3,S2,V3,3,causal,claude-sonnet,3,0.2611,0.000274,-0.2738,0.242746,0.7308,16,20,40
S2_V3_causal_claude-sonnet_rep4,S2,V3,3,causal,claude-sonnet,4,0.2545,0.000395,-0.1045,0.660922,0.9231,19,20,37
S2_V3_causal_gpt-4o_rep0,S2,V3,3,causal,gpt-4o,0,0.3191,7e-06,-0.5405,0.013873,1.0,20,20,47
S2_V3_causal_gpt-4o_rep1,S2,V3,3,causal,gpt-4o,1,0.471,0.0,-0.3528,0.127089,0.8462,20,20,48
S2_V3_causal_gpt-4o_rep2,S2,V3,3,causal,gpt-4o,2,0.444,0.0,-0.3789,0.099467,1.0,20,20,50
S2_V3_causal_gpt-4o_rep3,S2,V3,3,causal,gpt-4o,3,0.4657,0.0,-0.3701,0.108269,0.9231,20,20,52
