trial_id,domain,v_level,v_magnitude,psi_direction,model,repetition,ssc,ssc_p,sp,sp_p,tau_preservation,n_found,n_total,n_sentences,isc,isc_p,osd,ri,pd
S1_V3_historical_claude-sonnet_rep1,S1,V3,3,historical,claude-sonnet,1,0.2376,0.000963,-0.4518,0.045523,0.6786,16,20,31,0.4656,0.0,0.3548,0.9684,0.4732
S1_V3_historical_claude-sonnet_rep2,S1,V3,3,historical,claude-sonnet,2,0.1482,0.041354,-0.5734,0.00821,0.8571,20,20,56,0.1042,0.152691,0.3973,0.9895,0.498
S1_V3_historical_claude-sonnet_rep3,S1,V3,3,historical,claude-sonnet,3,0.0933,0.200224,-0.6993,0.000601,0.7857,20,20,48,0.1443,0.047055,0.4074,0.9474,0.5352
S1_V3_historical_claude-sonnet_rep4,S1,V3,3,historical,claude-sonnet,4,0.0568,0.436219,-0.3741,0.104199,0.7143,20,20,52,0.0816,0.263163,0.3991,0.9368,0.4254
S1_V3_historical_gpt-4o_rep0,S1,V3,3,historical,gpt-4o,0,0.1472,0.042693,-0.5136,0.020539,0.9286,20,20,42,0.0378,0.604184,0.4584,0.9579,0.2774
S1_V3_historical_gpt-4o_rep1,S1,V3,3,historical,gpt-4o,1,0.2402,0.000843,-0.4478,0.047694,0.8571,18,20,29,0.1342,0.098045,0.5017,0.8,0.3447
S1_V3_historical_gpt-4o_rep2,S1,V3,3,historical,gpt-4o,2,0.2295,0.001445,-0.533,0.015535,0.8929,20,20,39,0.2943,3.8e-05,0.4035,0.8,0.3283
S1_V3_historical_gpt-4o_rep3,S1,V3,3,historical,gpt-4o,3,0.273,0.000138,-0.5035,0.02363,0.9286,20,20,37,0.1569,0.030633,0.465,0.9895,0.3195
S1_V3_historical_gpt-4o_rep4,S1,V3,3,historical,gpt-4o,4,0.1486,0.040747,-0.4868,0.029499,0.7857,19,20,25,0.0568,0.460911,0.4718,0.9158,0.3668
S1_V3_formal_claude-sonnet_rep0,S1,V3,3,formal,claude-sonnet,0,0.1356,0.062217,-0.2022,0.392671,0.8929,19,20,26,0.8907,0.0,0.443,1.0,0.4757
S1_V3_formal_claude-sonnet_rep1,S1,V3,3,formal,claude-sonnet,1,0.1776,0.014222,-0.6163,0.003807,0.7143,18,20,30,0.7545,0.0,0.3457,0.8211,0.4213
S1_V3_formal_claude-sonnet_rep2,S1,V3,3,formal,claude-sonnet,2,0.1777,0.014157,-0.144,0.544703,0.8214,19,20,15,0.9734,0.0,0.5316,0.8526,0.3769
S1_V3_formal_claude-sonnet_rep3,S1,V3,3,formal,claude-sonnet,3,0.1635,0.024188,-0.301,0.197245,0.7143,18,20,28,0.4957,0.0,0.3726,0.9474,0.5301
S1_V3_formal_claude-sonnet_rep4,S1,V3,3,formal,claude-sonnet,4,0.0061,0.933771,-0.0924,0.698337,0.5357,18,20,25,0.5626,0.0,0.4619,0.9579,0.4539
S1_V3_formal_gpt-4o_rep0,S1,V3,3,formal,gpt-4o,0,0.1593,0.02813,-0.5025,0.023936,0.9286,20,20,31,0.7802,0.0,0.4461,0.9263,0.2004
S1_V3_formal_gpt-4o_rep1,S1,V3,3,formal,gpt-4o,1,0.1197,0.100091,-0.4879,0.029092,0.8571,20,20,30,0.6355,0.0,0.4163,0.8211,0.2417
S1_V3_formal_gpt-4o_rep2,S1,V3,3,formal,gpt-4o,2,0.4043,0.0,0.3467,0.134271,0.9643,19,20,31,0.6295,0.0,0.4094,0.9158,0.3506
S1_V3_formal_gpt-4o_rep3,S1,V3,3,formal,gpt-4o,3,0.4067,0.0,0.112,0.638213,0.9643,20,20,30,0.527,0.0,0.3435,0.8947,0.2897
S1_V3_formal_gpt-4o_rep4,S1,V3,3,formal,gpt-4o,4,0.3193,7e-06,0.2236,0.343399,0.9643,19,20,27,0.7483,0.0,0.4757,0.9474,0.332
