trial_id,domain,v_level,v_magnitude,psi_direction,model,repetition,ssc,ssc_p,sp,sp_p,tau_preservation,n_found,n_total,n_sentences,isc,isc_p,osd,ri,pd
S2_V2_causal_gpt-4o_rep2,S2,V2,2,causal,gpt-4o,2,0.3848,0.0,-0.4663,0.038242,1.0,20,20,39,0.5326,0.0,0.6135,0.9789,0.4825
S2_V2_causal_gpt-4o_rep3,S2,V2,2,causal,gpt-4o,3,0.2182,0.002491,0.087,0.715253,1.0,20,20,29,0.1064,0.143884,0.5493,0.9895,0.424
S2_V2_causal_gpt-4o_rep4,S2,V2,2,causal,gpt-4o,4,0.5097,0.0,-0.2485,0.290785,1.0,20,20,63,0.3773,0.0,0.4954,0.9895,0.4044
S2_V2_practical_claude-sonnet_rep0,S2,V2,2,practical,claude-sonnet,0,0.4272,0.0,-0.319,0.170365,1.0,20,20,19,0.4886,0.0,0.381,0.8842,0.5801
S2_V2_practical_claude-sonnet_rep1,S2,V2,2,practical,claude-sonnet,1,0.1193,0.100996,-0.0521,0.827248,1.0,20,20,16,0.0,1.0,0.417,0.8211,0.5986
S2_V2_practical_claude-sonnet_rep2,S2,V2,2,practical,claude-sonnet,2,0.3208,6e-06,-0.2601,0.268012,1.0,20,20,10,0.0,1.0,0.4026,0.9684,0.5387
S2_V2_practical_claude-sonnet_rep3,S2,V2,2,practical,claude-sonnet,3,0.1674,0.020961,-0.3,0.19877,1.0,20,20,21,0.3847,0.0,0.3522,0.7895,0.5756
S2_V2_practical_claude-sonnet_rep4,S2,V2,2,practical,claude-sonnet,4,0.4064,0.0,-0.4318,0.057306,1.0,20,20,9,0.0,1.0,0.4291,0.9053,0.5538
S2_V2_practical_gpt-4o_rep0,S2,V2,2,practical,gpt-4o,0,0.1179,0.105239,-0.3782,0.10017,0.5385,20,20,29,0.0421,0.564106,0.4311,0.6,0.504
S2_V2_practical_gpt-4o_rep1,S2,V2,2,practical,gpt-4o,1,0.438,0.0,-0.5501,0.011965,0.8462,20,20,25,0.5243,0.0,0.4776,0.8737,0.4851
S2_V2_practical_gpt-4o_rep2,S2,V2,2,practical,gpt-4o,2,0.2356,0.001065,-0.2876,0.21885,0.4615,20,20,32,0.1786,0.013661,0.3383,0.9895,0.5258
S2_V2_practical_gpt-4o_rep3,S2,V2,2,practical,gpt-4o,3,0.3807,0.0,-0.3582,0.120987,0.9615,20,20,25,0.6868,0.0,0.4903,0.9895,0.4404
